Survived,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S
0,0.6783296870926508,-0.8547611865039727,1.8007351439963428,0.0,-0.6094478285506207,True,False,True
1,0.6783296870926508,-0.38661006679557947,-0.4482349384406481,0.0,-0.5558576516361485,False,False,True
1,-2.0491701697189146,0.6667299525483052,1.8007351439963428,0.0,3.030714558899086,False,False,True
0,0.6783296870926508,0.6667299525483052,-0.4482349384406481,0.0,-0.545933544800135,True,False,True
0,0.6783296870926508,-0.15253450694138285,-0.4482349384406481,0.0,-0.5135174422309811,True,True,False
0,-2.0491701697189146,2.8904477711631733,-0.4482349384406481,0.0,2.9324659012225536,True,False,True
1,-0.6854202413131321,-1.7910634259207592,1.8007351439963428,0.0,1.2023606297157319,False,False,False
0,0.6783296870926508,-1.0888367463581692,-0.4482349384406481,0.0,-0.545933544800135,True,False,True
0,0.6783296870926508,-1.7910634259207592,-0.4482349384406481,0.0,-0.5614786657480665,False,False,True
1,-0.6854202413131321,-0.15253450694138285,-0.4482349384406481,0.0,-0.15293891409400537,True,False,True
0,0.6783296870926508,0.19857883283991207,1.8007351439963428,0.0,0.24402535934652972,False,False,True
1,0.6783296870926508,-0.15253450694138285,-0.4482349384406481,0.0,-0.6114326499178234,False,False,False
0,-0.6854202413131321,0.6667299525483052,-0.4482349384406481,0.0,0.8791681968513859,True,False,True
1,-0.6854202413131321,0.549692172621207,-0.4482349384406481,0.0,-0.15293891409400537,True,False,True
1,0.6783296870926508,-1.6740256459936609,-0.4482349384406481,0.0,-0.5475849161776478,False,True,False
1,-2.0491701697189146,-0.15253450694138285,-0.4482349384406481,0.0,1.6334003163884026,True,False,True
0,0.6783296870926508,-0.15253450694138285,-0.4482349384406481,0.0,-0.6114326499178234,True,False,False
1,0.6783296870926508,-0.15253450694138285,-0.4482349384406481,0.0,-0.5594938443808638,False,True,False
0,0.6783296870926508,-0.15253450694138285,-0.4482349384406481,0.0,-0.5581759229930412,True,False,True
0,-2.0491701697189146,1.2519188521837967,-0.4482349384406481,0.0,1.0157874211986804,True,False,False
1,0.6783296870926508,-0.15253450694138285,-0.4482349384406481,0.0,-0.5697514012065672,False,True,False
0,-2.0491701697189146,1.4859944120379933,1.8007351439963428,0.0,2.9433824187421687,True,False,True
1,0.6783296870926508,-0.15253450694138285,-0.4482349384406481,0.0,-0.6110991999281334,True,False,False
0,0.6783296870926508,-0.971798966431071,-0.4482349384406481,0.0,-0.545933544800135,True,False,True
0,0.6783296870926508,-1.322912306212366,4.049705226433334,0.0,0.24402535934652972,False,False,True
1,0.6783296870926508,-1.7910634259207592,1.8007351439963428,0.0,-0.292535370492104,False,False,False
0,0.6783296870926508,1.2519188521837967,1.8007351439963428,0.0,-0.43279872686958265,False,False,True
0,-0.6854202413131321,-0.26957228686848117,1.8007351439963428,0.0,0.4822039234108508,False,False,True
0,0.6783296870926508,-0.15253450694138285,-0.4482349384406481,0.0,-0.5581759229930412,True,False,False
1,0.6783296870926508,-1.2058745262852677,-0.4482349384406481,0.0,-0.5594938443808638,False,True,False
0,0.6783296870926508,-0.15253450694138285,-0.4482349384406481,0.0,-0.545933544800135,True,False,True
0,0.6783296870926508,-0.15253450694138285,1.8007351439963428,0.0,0.045543222626262175,True,True,False
1,0.6783296870926508,-0.15253450694138285,-0.4482349384406481,0.0,-0.5697514012065672,False,True,False
0,0.6783296870926508,-0.15253450694138285,4.049705226433334,0.0,0.5361275503150132,True,False,False
0,0.6783296870926508,-1.322912306212366,1.8007351439963428,0.0,0.22814678840890837,False,False,True
0,0.6783296870926508,-0.971798966431071,-0.4482349384406481,0.0,-0.5657817584721618,True,False,True
1,-0.6854202413131321,-0.035496727014284545,1.8007351439963428,0.0,0.8791681968513859,False,False,True
1,-2.0491701697189146,-0.15253450694138285,-0.4482349384406481,0.0,1.6334003163884026,True,False,True
1,-0.6854202413131321,-0.971798966431071,-0.4482349384406481,0.0,-0.35142105081427294,False,False,True
0,0.6783296870926508,-0.0940156169778337,-0.4482349384406481,0.0,-0.6110991999281334,True,False,False
0,0.6783296870926508,-0.8547611865039727,-0.4482349384406481,0.0,-0.6110991999281334,True,False,False
0,-2.0491701697189146,-0.15253450694138285,-0.4482349384406481,0.0,1.0157874211986804,True,False,False
1,-0.6854202413131321,-0.035496727014284545,-0.4482349384406481,0.0,-0.35142105081427294,False,False,True
0,0.6783296870926508,-1.2058745262852677,-0.4482349384406481,0.0,-0.537335298637413,True,False,True
0,0.6783296870926508,-0.38661006679557947,4.049705226433334,0.0,-0.4973054213036696,True,False,True
0,-0.6854202413131321,0.31561661276701036,-0.4482349384406481,0.0,-0.35142105081427294,True,False,True
0,0.6783296870926508,-0.38661006679557947,1.8007351439963428,0.0,-0.03748582480656013,True,False,False
1,0.6783296870926508,0.31561661276701036,-0.4482349384406481,0.0,3.3003168148489603,True,False,True
0,0.6783296870926508,-0.5036478467226778,-0.4482349384406481,0.0,-0.5776906866753779,True,False,True
0,0.6783296870926508,-0.15253450694138285,-0.4482349384406481,0.0,-0.5581759229930412,True,False,True
0,0.6783296870926508,-0.15253450694138285,-0.4482349384406481,0.0,-0.545933544800135,True,False,True
1,0.6783296870926508,0.08154105291281376,-0.4482349384406481,0.0,-0.1946201628052616,False,False,True
0,0.6783296870926508,-0.8547611865039727,-0.4482349384406481,0.0,-0.47051033284643345,True,False,True
1,0.6783296870926508,-0.035496727014284545,-0.4482349384406481,0.0,-0.4308139055023799,True,False,True
1,0.6783296870926508,-0.15253450694138285,-0.4482349384406481,0.0,-0.5667741691557633,False,True,False
0,-2.0491701697189146,-0.15253450694138285,-0.4482349384406481,0.0,2.5543574307704437,True,False,True
1,-0.6854202413131321,-1.4399500861394643,-0.4482349384406481,0.0,-0.35142105081427294,False,False,True
0,0.6783296870926508,-0.15253450694138285,-0.4482349384406481,0.0,-0.545933544800135,True,False,True
0,0.6783296870926508,-0.6206856266497761,-0.4482349384406481,0.0,-0.545933544800135,True,False,True
0,0.6783296870926508,-0.035496727014284545,-0.4482349384406481,0.0,-0.545933544800135,True,False,True
0,0.6783296870926508,-1.0888367463581692,-0.4482349384406481,0.0,-0.5614786657480665,True,False,True
0,-2.0491701697189146,1.9541455317463867,1.8007351439963428,0.0,3.6718118605055503,True,False,True
0,0.6783296870926508,-0.15253450694138285,-0.4482349384406481,0.0,-0.545933544800135,True,False,True
0,-0.6854202413131321,0.549692172621207,1.8007351439963428,0.0,0.8791681968513859,True,False,True
0,0.6783296870926508,-0.15253450694138285,-0.4482349384406481,0.0,-0.5581759229930412,False,False,True
0,0.6783296870926508,-0.15253450694138285,-0.4482349384406481,0.0,-0.5581759229930412,True,False,True
0,0.6783296870926508,0.43265439269410866,-0.4482349384406481,0.0,-0.4979643819975809,True,False,True
0,0.6783296870926508,0.900805512402502,4.049705226433334,0.0,-0.5558576516361485,True,False,True
0,0.6783296870926508,-0.15253450694138285,-0.4482349384406481,0.0,-0.5581759229930412,True,False,True
1,0.6783296870926508,-0.971798966431071,-0.4482349384406481,0.0,-0.5776906866753779,False,False,True
1,0.6783296870926508,-0.15253450694138285,-0.4482349384406481,0.0,-0.5677665798393645,True,False,True
0,0.6783296870926508,1.0178432923296001,-0.4482349384406481,0.0,-0.5581759229930412,True,False,True
1,0.6783296870926508,-0.15253450694138285,1.8007351439963428,0.0,0.7322914156783877,False,True,False
0,-2.0491701697189146,2.071183311673485,-0.4482349384406481,0.0,2.9433824187421687,True,False,True
0,0.6783296870926508,-1.73254453595721,1.8007351439963428,0.0,-0.03748582480656013,False,False,False
0,0.6783296870926508,-0.8547611865039727,-0.4482349384406481,0.0,-0.545933544800135,True,False,True
0,0.6783296870926508,-1.0888367463581692,1.8007351439963428,0.0,-0.4050112277287452,False,False,True
0,0.6783296870926508,-1.4399500861394643,-0.4482349384406481,0.0,-0.03716031410233894,False,False,False
0,0.6783296870926508,-0.971798966431071,-0.4482349384406481,0.0,-0.5558576516361485,True,False,True
0,-0.6854202413131321,-0.035496727014284545,1.8007351439963428,0.0,0.4822039234108508,True,False,True
0,0.6783296870926508,-0.15253450694138285,-0.4482349384406481,0.0,-0.545933544800135,True,False,True
0,-0.6854202413131321,0.3741355027305595,1.8007351439963428,0.0,1.2023606297157319,True,False,False
1,-0.6854202413131321,0.3741355027305595,-0.4482349384406481,0.0,-0.15293891409400537,False,False,True
1,0.6783296870926508,-2.0251389857749555,1.8007351439963428,0.0,-0.292535370492104,True,False,False
0,0.6783296870926508,-0.15253450694138285,-0.4482349384406481,0.0,-0.5697514012065672,True,True,False
1,0.6783296870926508,-0.6206856266497761,-0.4482349384406481,0.0,-0.6180460747133427,True,False,True
0,0.6783296870926508,1.8371077518192884,-0.4482349384406481,0.0,-0.6312808635898501,True,False,True
0,0.6783296870926508,0.43265439269410866,-0.4482349384406481,0.0,-0.5581759229930412,True,False,False
0,0.6783296870926508,-1.0888367463581692,-0.4482349384406481,0.0,-0.6253263994882422,True,False,True
0,0.6783296870926508,2.071183311673485,1.8007351439963428,0.0,-0.03384963206184484,False,False,True
1,-0.6854202413131321,-0.035496727014284545,1.8007351439963428,0.0,0.8791681968513859,False,False,True
0,-0.6854202413131321,-0.5036478467226778,-0.4482349384406481,0.0,-0.15293891409400537,True,False,True
0,-0.6854202413131321,-0.7377234065768744,-0.4482349384406481,0.0,0.009482988026923957,True,False,False
0,-2.0491701697189146,0.900805512402502,1.8007351439963428,0.0,3.030714558899086,True,False,True
0,0.6783296870926508,-1.5569878660665626,-0.4482349384406481,0.0,-0.4533059012355207,True,False,True
1,0.6783296870926508,-0.8547611865039727,-0.4482349384406481,0.0,-0.5697514012065672,False,False,True
1,0.6783296870926508,-0.6206856266497761,1.8007351439963428,0.0,0.07333072176709961,False,False,True
0,0.6783296870926508,-1.2058745262852677,-0.4482349384406481,0.0,-0.6491442558946743,True,True,False
0,-0.6854202413131321,-1.322912306212366,-0.4482349384406481,0.0,-0.2720281961261659,True,False,True
1,0.6783296870926508,-0.26957228686848117,-0.4482349384406481,0.0,-0.5661152084618519,True,False,True
0,-0.6854202413131321,1.4859944120379933,-0.4482349384406481,0.0,-0.15293891409400537,True,False,True
0,-0.6854202413131321,2.539334431381878,-0.4482349384406481,0.0,-0.19065052007085617,True,False,True
0,0.6783296870926508,-0.15253450694138285,-0.4482349384406481,0.0,-0.604485775132614,True,False,True
1,0.6783296870926508,-1.5569878660665626,-0.4482349384406481,0.0,-0.5710772618798586,False,True,False
0,0.6783296870926508,0.08154105291281376,-0.4482349384406481,0.0,-0.545933544800135,True,False,True
0,0.6783296870926508,-0.15253450694138285,-0.4482349384406481,0.0,-0.4973054213036696,True,False,True
1,-0.6854202413131321,1.2519188521837967,-0.4482349384406481,0.0,0.06539143629828893,False,False,True
0,0.6783296870926508,-0.38661006679557947,-0.4482349384406481,0.0,-0.5677665798393645,True,False,True
0,0.6783296870926508,-1.4399500861394643,-0.4482349384406481,0.0,-0.4973054213036696,True,False,True
0,-2.0491701697189146,-0.15253450694138285,-0.4482349384406481,0.0,0.8732137327497779,True,False,True
0,0.6783296870926508,-0.15253450694138285,-0.4482349384406481,0.0,3.3003168148489603,True,False,True
0,0.6783296870926508,-0.971798966431071,-0.4482349384406481,0.0,-0.5558576516361485,True,False,True
0,-2.0491701697189146,2.4222966514547797,-0.4482349384406481,0.0,1.094521315192876,False,False,False
0,-0.6854202413131321,0.08154105291281376,-0.4482349384406481,0.0,-0.15293891409400537,True,False,True
0,0.6783296870926508,0.7837677324754035,-0.4482349384406481,0.0,-1.1850460250393966,True,False,True
0,-0.6854202413131321,-0.15253450694138285,-0.4482349384406481,0.0,0.009816438016614075,True,False,False
0,-2.0491701697189146,-0.15253450694138285,-0.4482349384406481,0.0,2.7845967093659545,True,False,True
1,0.6783296870926508,-0.15253450694138285,1.8007351439963428,0.0,0.045543222626262175,False,True,False
1,-2.0491701697189146,1.8371077518192884,-0.4482349384406481,0.0,0.9228342669298448,True,False,True
0,0.6783296870926508,0.7837677324754035,-0.4482349384406481,0.0,-0.5581759229930412,True,False,True
1,-0.6854202413131321,0.31561661276701036,-0.4482349384406481,0.0,-0.15293891409400537,False,False,True
0,-0.6854202413131321,-1.2058745262852677,-0.4482349384406481,0.0,-0.15293891409400537,True,False,True
1,0.6783296870926508,-1.2058745262852677,1.8007351439963428,0.0,-0.5614786657480665,False,False,True
1,-2.0491701697189146,1.7200699718921901,-0.4482349384406481,0.0,1.0157874211986804,False,False,False
0,0.6783296870926508,-0.15253450694138285,-0.4482349384406481,0.0,-0.5697514012065672,True,True,False
1,0.6783296870926508,-0.15253450694138285,-0.4482349384406481,0.0,-0.5697514012065672,False,True,False
0,-0.6854202413131321,-0.6206856266497761,-0.4482349384406481,0.0,-0.15293891409400537,False,False,True
